review_id,example_id,degradation_type,split,blind_label,artifact_removal_1_5,detail_preservation_1_5,texture_authenticity_1_5,over_smoothing_1_5,hallucination_risk_1_5,overall_1_5,choose_for_restoration,notes,true_method,prediction_path,manifest_path,human_composite_score
review_00053,example_00053,grain,test,Output 00053,5,4,2,2,3,4,yes,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00053_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,7.0
review_00054,example_00053,grain,test,Output 00054,5,2,2,4,2,2,no,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00053_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,3.5
review_00055,example_00053,grain,test,Output 00055,5,4,4,2,2,4,yes,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00053_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,8.5
review_00056,example_00025,scratch_dust,test,Output 00056,5,3,3,2,4,3,no,,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00025_scratch_dust_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv,5.5
review_00057,example_00025,scratch_dust,test,Output 00057,4,3,4,3,3,2,no,,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00025_scratch_dust_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv,4.5
review_00058,example_00025,scratch_dust,test,Output 00058,2,3,4,2,3,2,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00025_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,4.0
review_00059,example_00025,scratch_dust,test,Output 00059,3,3,3,3,4,3,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00025_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,4.0
review_00060,example_00025,scratch_dust,test,Output 00060,5,4,4,2,4,4,yes,,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00025_scratch_dust_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv,7.5
review_00061,example_00004,scratch_dust,test,Output 00061,1,3,3,2,2,1,no,,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00004_scratch_dust_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv,2.5
review_00062,example_00004,scratch_dust,test,Output 00062,2,2,2,3,3,2,no,,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00004_scratch_dust_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv,2.0
