rank,frame_path,grain_score,manual_keep,notes
152,data\selected_frames\nosferatu_non_title_cards\nosferatu_000308.png,0.005411842372268438,,
153,data\selected_frames\nosferatu_non_title_cards\nosferatu_000516.png,0.00540471775457263,,
154,data\selected_frames\nosferatu_non_title_cards\nosferatu_000147.png,0.005388988647609949,,
155,data\selected_frames\nosferatu_non_title_cards\nosferatu_000151.png,0.005381719674915075,,
156,data\selected_frames\nosferatu_non_title_cards\nosferatu_000140.png,0.005359909031540155,,
157,data\selected_frames\nosferatu_non_title_cards\nosferatu_000486.png,0.005359506234526634,,
158,data\selected_frames\nosferatu_non_title_cards\nosferatu_000236.png,0.0053582340478897095,,
159,data\selected_frames\nosferatu_non_title_cards\nosferatu_000574.png,0.005348048638552427,,
160,data\selected_frames\nosferatu_non_title_cards\nosferatu_000536.png,0.005328744649887085,,
161,data\selected_frames\nosferatu_non_title_cards\nosferatu_000337.png,0.005318578332662582,,
162,data\selected_frames\nosferatu_non_title_cards\nosferatu_000331.png,0.005315419286489487,,
163,data\selected_frames\nosferatu_non_title_cards\nosferatu_000424.png,0.005282512400299311,,
164,data\selected_frames\nosferatu_non_title_cards\nosferatu_000150.png,0.005273699760437012,,
165,data\selected_frames\nosferatu_non_title_cards\nosferatu_000138.png,0.0052704643458127975,,
166,data\selected_frames\nosferatu_non_title_cards\nosferatu_000494.png,0.005266495048999786,,
167,data\selected_frames\nosferatu_non_title_cards\nosferatu_000351.png,0.005260036792606115,,
168,data\selected_frames\nosferatu_non_title_cards\nosferatu_000514.png,0.005241215229034424,,
169,data\selected_frames\nosferatu_non_title_cards\nosferatu_000581.png,0.00521738501265645,,
170,data\selected_frames\nosferatu_non_title_cards\nosferatu_000592.png,0.005209318827837706,,
171,data\selected_frames\nosferatu_non_title_cards\nosferatu_000176.png,0.00518060615286231,,
172,data\selected_frames\nosferatu_non_title_cards\nosferatu_000427.png,0.005175702273845673,,
173,data\selected_frames\nosferatu_non_title_cards\nosferatu_000428.png,0.0051610469818115234,,
174,data\selected_frames\nosferatu_non_title_cards\nosferatu_000346.png,0.005147503223270178,,
175,data\selected_frames\nosferatu_non_title_cards\nosferatu_000430.png,0.005116696003824472,,
176,data\selected_frames\nosferatu_non_title_cards\nosferatu_000415.png,0.005112001206725836,,
177,data\selected_frames\nosferatu_non_title_cards\nosferatu_000139.png,0.005080392584204674,,
178,data\selected_frames\nosferatu_non_title_cards\nosferatu_000378.png,0.0050698439590632915,,
179,data\selected_frames\nosferatu_non_title_cards\nosferatu_000213.png,0.005051131825894117,,
180,data\selected_frames\nosferatu_non_title_cards\nosferatu_000109.png,0.005039873532950878,,
181,data\selected_frames\nosferatu_non_title_cards\nosferatu_000426.png,0.005007393192499876,,
182,data\selected_frames\nosferatu_non_title_cards\nosferatu_000429.png,0.004949281457811594,,
183,data\selected_frames\nosferatu_non_title_cards\nosferatu_000526.png,0.004948150832206011,,
184,data\selected_frames\nosferatu_non_title_cards\nosferatu_000572.png,0.004946352913975716,,
185,data\selected_frames\nosferatu_non_title_cards\nosferatu_000330.png,0.004908368457108736,,
186,data\selected_frames\nosferatu_non_title_cards\nosferatu_000425.png,0.004904154688119888,,
187,data\selected_frames\nosferatu_non_title_cards\nosferatu_000554.png,0.004868934862315655,,
188,data\selected_frames\nosferatu_non_title_cards\nosferatu_000327.png,0.0048675332218408585,,
189,data\selected_frames\nosferatu_non_title_cards\nosferatu_000517.png,0.004848111420869827,,
190,data\selected_frames\nosferatu_non_title_cards\nosferatu_000235.png,0.0048445588909089565,,
191,data\selected_frames\nosferatu_non_title_cards\nosferatu_000182.png,0.0048442683182656765,,
192,data\selected_frames\nosferatu_non_title_cards\nosferatu_000381.png,0.004843599628657103,,
193,data\selected_frames\nosferatu_non_title_cards\nosferatu_000160.png,0.00482754223048687,,
194,data\selected_frames\nosferatu_non_title_cards\nosferatu_000379.png,0.004817600827664137,,
195,data\selected_frames\nosferatu_non_title_cards\nosferatu_000159.png,0.004802024457603693,,
196,data\selected_frames\nosferatu_non_title_cards\nosferatu_000353.png,0.004792661871761084,,
197,data\selected_frames\nosferatu_non_title_cards\nosferatu_000382.png,0.004790254402905703,,
198,data\selected_frames\nosferatu_non_title_cards\nosferatu_000388.png,0.004782313480973244,,
199,data\selected_frames\nosferatu_non_title_cards\nosferatu_000518.png,0.004754014313220978,,
200,data\selected_frames\nosferatu_non_title_cards\nosferatu_000178.png,0.004735334310680628,,
201,data\selected_frames\nosferatu_non_title_cards\nosferatu_000416.png,0.004734924528747797,,
202,data\selected_frames\nosferatu_non_title_cards\nosferatu_000092.png,0.004695207346230745,,
203,data\selected_frames\nosferatu_non_title_cards\nosferatu_000247.png,0.0046770027838647366,,
204,data\selected_frames\nosferatu_non_title_cards\nosferatu_000177.png,0.004648029804229736,,
205,data\selected_frames\nosferatu_non_title_cards\nosferatu_000211.png,0.004639583174139261,,
206,data\selected_frames\nosferatu_non_title_cards\nosferatu_000252.png,0.004616342019289732,,
207,data\selected_frames\nosferatu_non_title_cards\nosferatu_000576.png,0.004614442586898804,,
