rank_clean_to_degraded,rank_degraded_to_clean,frame_path,degradation_score,high_frequency_score,laplacian_score,scratch_score,exposure_penalty,brightness,contrast,manual_keep,manual_notes
188,240,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000377.png,0.034112,0.007769,0.00174,0.013041,0.0,0.224645,0.145101,,
189,239,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000473.png,0.03434,0.007927,0.002203,0.013041,0.0,0.290789,0.242708,,
190,238,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000254.png,0.03435,0.006034,0.000782,0.014099,0.0,0.305538,0.156625,,
191,237,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000406.png,0.034761,0.005183,0.001242,0.005452,0.012324,0.187676,0.132897,,
192,236,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000072.png,0.034845,0.010992,0.00358,0.011658,0.0,0.477006,0.367712,,
193,235,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000555.png,0.034852,0.016332,0.005199,0.00887,0.0,0.4126,0.311235,,
194,234,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000236.png,0.035151,0.014144,0.006314,0.01003,0.0,0.296172,0.314924,,
195,233,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000478.png,0.03546,0.010869,0.002533,0.012105,0.0,0.251954,0.142671,,
196,232,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000470.png,0.035502,0.007484,0.00233,0.013835,0.0,0.203387,0.243289,,
197,231,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000191.png,0.035569,0.010818,0.003061,0.012146,0.0,0.263311,0.233654,,
198,230,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000471.png,0.03589,0.008186,0.0024,0.013672,0.0,0.237241,0.268655,,
199,229,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000546.png,0.036323,0.021566,0.009402,0.006673,0.0,0.302789,0.234111,,
200,228,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000235.png,0.036361,0.012436,0.0046,0.011617,0.0,0.298296,0.297635,,
201,227,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000310.png,0.036619,0.013926,0.003719,0.011068,0.0,0.369114,0.192106,,
202,226,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000352.png,0.036707,0.014558,0.005788,0.01064,0.0,0.357988,0.258555,,
203,225,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000308.png,0.036805,0.011455,0.003255,0.012431,0.0,0.506943,0.281023,,
204,224,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000373.png,0.036921,0.022553,0.00844,0.006551,0.0,0.361596,0.210686,,
205,223,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000545.png,0.037251,0.022678,0.010352,0.00651,0.0,0.309568,0.237531,,
206,222,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000351.png,0.037455,0.012728,0.004795,0.012004,0.0,0.291531,0.205454,,
207,221,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000089.png,0.037473,0.006462,0.001119,0.015422,0.0,0.261763,0.127132,,
208,220,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000103.png,0.037701,0.013207,0.004059,0.011943,0.0,0.248911,0.201016,,
209,219,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000075.png,0.038189,0.011764,0.003639,0.012939,0.0,0.458479,0.316209,,
210,218,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000320.png,0.038297,0.010644,0.003147,0.01359,0.0,0.277833,0.244137,,
211,217,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000543.png,0.038347,0.023789,0.011062,0.006449,0.0,0.324549,0.251632,,
212,216,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000069.png,0.038412,0.013425,0.005719,0.012065,0.0,0.233612,0.249369,,
213,215,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000335.png,0.038664,0.015498,0.005513,0.011169,0.0,0.299147,0.226639,,
214,214,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000223.png,0.038705,0.0112,0.004331,0.013428,0.0,0.219168,0.24538,,
215,213,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000365.png,0.038805,0.014943,0.004455,0.011597,0.0,0.399815,0.263537,,
216,212,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000374.png,0.039099,0.022989,0.008388,0.007426,0.0,0.425931,0.22,,
217,211,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000125.png,0.039158,0.014682,0.005024,0.011861,0.0,0.364217,0.290331,,
218,210,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000252.png,0.039234,0.011555,0.004133,0.013529,0.0,0.284766,0.238302,,
219,209,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000368.png,0.03937,0.021669,0.007605,0.00828,0.0,0.409053,0.214904,,
220,208,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000574.png,0.039582,0.013943,0.004913,0.012451,0.0,0.347161,0.260026,,
221,207,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000331.png,0.039614,0.013656,0.004864,0.012614,0.0,0.295398,0.217745,,
222,206,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000319.png,0.039697,0.01504,0.004597,0.011983,0.0,0.292455,0.1994,,
223,205,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000544.png,0.039731,0.023809,0.010928,0.007141,0.0,0.34954,0.257861,,
224,204,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000245.png,0.039753,0.009059,0.003031,0.008362,0.00901,0.19099,0.211826,,
225,203,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000088.png,0.039886,0.004445,0.000611,0.005778,0.015863,0.195417,0.088721,,
226,202,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000313.png,0.040049,0.01528,0.004808,0.012024,0.0,0.389949,0.248722,,
227,201,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000483.png,0.040368,0.016669,0.006088,0.011393,0.0,0.338037,0.245952,,
228,200,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000575.png,0.04046,0.012385,0.004606,0.013692,0.0,0.266198,0.204156,,
229,199,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000472.png,0.040614,0.007608,0.002158,0.010478,0.007818,0.192182,0.219451,,
230,198,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000328.png,0.040857,0.014013,0.004808,0.013062,0.0,0.314681,0.215676,,
231,197,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000312.png,0.040982,0.014891,0.004402,0.012716,0.0,0.344246,0.240512,,
232,196,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000154.png,0.041314,0.017245,0.00584,0.011597,0.0,0.35155,0.254356,,
233,195,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000510.png,0.041344,0.021851,0.007609,0.009176,0.0,0.333472,0.194143,,
234,194,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000372.png,0.041782,0.023895,0.009111,0.00826,0.0,0.449024,0.223384,,
235,193,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000318.png,0.041845,0.017329,0.005559,0.011841,0.0,0.315721,0.189518,,
236,192,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000584.png,0.042055,0.019218,0.007392,0.010864,0.0,0.391725,0.236382,,
237,191,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000387.png,0.042138,0.009672,0.002682,0.016032,0.0,0.242004,0.166432,,
238,190,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000327.png,0.042262,0.012414,0.003946,0.014628,0.0,0.319396,0.21801,,
