rank_clean_to_degraded,rank_degraded_to_clean,frame_path,degradation_score,high_frequency_score,laplacian_score,scratch_score,exposure_penalty,brightness,contrast,manual_keep,manual_notes
331,97,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000432.png,0.055153,0.005729,0.001259,0.007446,0.022895,0.177105,0.130824,,
332,96,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000369.png,0.055437,0.019496,0.008759,0.017314,0.0,0.613312,0.283848,,
333,95,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000325.png,0.055458,0.013751,0.004339,0.020528,0.0,0.366385,0.268003,,
334,94,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000101.png,0.055516,0.015041,0.004264,0.019918,0.0,0.32519,0.227447,,
335,93,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000102.png,0.055807,0.017282,0.005369,0.01886,0.0,0.339629,0.218416,,
336,92,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000297.png,0.056068,0.020569,0.009065,0.017069,0.0,0.336853,0.275199,,
337,91,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000100.png,0.05633,0.0145,0.004072,0.02061,0.0,0.300243,0.21936,,
338,90,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000296.png,0.056479,0.020564,0.008857,0.017293,0.0,0.337745,0.261939,,
339,89,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000367.png,0.057515,0.002761,0.000332,0.00413,0.030963,0.211618,0.069037,,
340,88,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000099.png,0.057641,0.014642,0.003727,0.02122,0.0,0.4038,0.221144,,
341,87,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000469.png,0.058024,0.005422,0.001402,0.008545,0.023534,0.176466,0.214908,,
342,86,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000350.png,0.058107,0.012804,0.003899,0.022359,0.0,0.437429,0.237851,,
343,85,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000292.png,0.058188,0.020103,0.008405,0.018412,0.0,0.342072,0.267215,,
344,84,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000323.png,0.058655,0.017984,0.006928,0.019816,0.0,0.460746,0.288646,,
345,83,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000534.png,0.059345,0.021417,0.008712,0.018311,0.0,0.438599,0.28657,,
346,82,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000123.png,0.060202,0.01838,0.007551,0.020345,0.0,0.465134,0.29716,,
347,81,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000090.png,0.060317,0.010743,0.002529,0.024597,0.0,0.339276,0.170907,,
348,80,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000290.png,0.06053,0.0208,0.009331,0.019165,0.0,0.329587,0.272191,,
349,79,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000371.png,0.061053,0.022437,0.010311,0.018534,0.0,0.656767,0.261402,,
350,78,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000133.png,0.061447,0.017841,0.0075,0.02124,0.0,0.3656,0.191911,,
351,77,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000300.png,0.062047,0.021544,0.009603,0.019531,0.0,0.3492,0.272081,,
352,76,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000382.png,0.06213,0.011593,0.003794,0.024984,0.0,0.265603,0.17798,,
353,75,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000096.png,0.062369,0.010434,0.002263,0.025798,0.0,0.344209,0.225643,,
354,74,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000094.png,0.062461,0.010499,0.002445,0.025798,0.0,0.311708,0.187962,,
355,73,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000114.png,0.063225,0.015834,0.00615,0.023234,0.0,0.329215,0.258364,,
356,72,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000380.png,0.063295,0.01453,0.005277,0.023987,0.0,0.327227,0.205051,,
357,71,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000111.png,0.064323,0.015581,0.005938,0.023926,0.0,0.321978,0.265235,,
358,70,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000095.png,0.066707,0.011824,0.003472,0.027181,0.0,0.301463,0.183604,,
359,69,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000277.png,0.067007,0.022201,0.008723,0.021749,0.0,0.322685,0.21088,,
360,68,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000113.png,0.067846,0.016108,0.006374,0.025391,0.0,0.331386,0.267932,,
361,67,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000268.png,0.069275,0.021539,0.008453,0.023234,0.0,0.285678,0.192746,,
362,66,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000376.png,0.069305,0.005024,0.000832,0.007324,0.033005,0.166995,0.127795,,
363,65,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000092.png,0.069359,0.011966,0.003121,0.028463,0.0,0.357127,0.191985,,
364,64,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000271.png,0.069377,0.023384,0.009849,0.022257,0.0,0.325032,0.219043,,
365,63,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000383.png,0.069773,0.016742,0.00686,0.026001,0.0,0.404634,0.213197,,
366,62,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000385.png,0.069996,0.013561,0.005417,0.027812,0.0,0.207471,0.17018,,
367,61,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000224.png,0.070231,0.018101,0.007639,0.025492,0.0,0.309655,0.269084,,
368,60,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000205.png,0.07143,0.020035,0.006531,0.025208,0.0,0.271781,0.188185,,
369,59,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000097.png,0.071919,0.017006,0.005296,0.027059,0.0,0.322788,0.223091,,
370,58,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000264.png,0.072206,0.016305,0.006738,0.027445,0.0,0.221775,0.189389,,
371,57,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000273.png,0.073311,0.025039,0.011213,0.023295,0.0,0.3587,0.23109,,
372,56,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000386.png,0.073377,0.016879,0.007454,0.02769,0.0,0.316389,0.227639,,
373,55,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000227.png,0.073437,0.01781,0.00708,0.027283,0.0,0.330096,0.297967,,
374,54,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000269.png,0.074132,0.025052,0.011172,0.023702,0.0,0.358173,0.239446,,
375,53,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000078.png,0.0745,0.021931,0.007849,0.025696,0.0,0.376128,0.239125,,
376,52,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000267.png,0.074713,0.025555,0.011149,0.023743,0.0,0.381709,0.241827,,
377,51,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000080.png,0.074939,0.01969,0.007003,0.0271,0.0,0.309402,0.236758,,
378,50,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000225.png,0.075308,0.016828,0.006298,0.028768,0.0,0.34094,0.267756,,
379,49,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000375.png,0.075396,0.003761,0.000692,0.004862,0.041204,0.164573,0.094223,,
380,48,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000112.png,0.075527,0.016682,0.006556,0.028931,0.0,0.359896,0.271522,,
381,47,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000081.png,0.076013,0.021365,0.007602,0.026754,0.0,0.349045,0.240622,,
382,46,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000384.png,0.076015,0.015245,0.0061,0.029928,0.0,0.298697,0.211146,,
383,45,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000243.png,0.077541,0.015921,0.006069,0.030355,0.0,0.316702,0.295809,,
384,44,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000286.png,0.077722,0.021383,0.009381,0.027466,0.0,0.281358,0.220428,,
385,43,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000226.png,0.079741,0.016953,0.006262,0.030924,0.0,0.395315,0.294947,,
386,42,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000279.png,0.080615,0.023277,0.010349,0.027893,0.0,0.294805,0.212677,,
387,41,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000272.png,0.080831,0.027394,0.012555,0.025777,0.0,0.405849,0.247149,,
388,40,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000152.png,0.081514,0.025517,0.011712,0.02712,0.0,0.382484,0.258202,,
389,39,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000206.png,0.083009,0.020026,0.006477,0.031006,0.0,0.272278,0.179967,,
390,38,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000266.png,0.083651,0.024205,0.010566,0.028931,0.0,0.32706,0.225456,,
391,37,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000270.png,0.08374,0.025216,0.010925,0.028442,0.0,0.367393,0.244416,,
392,36,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000283.png,0.083755,0.023494,0.010839,0.029317,0.0,0.294224,0.219767,,
393,35,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000580.png,0.084375,0.004261,0.000572,0.017314,0.030267,0.169733,0.120971,,
394,34,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000431.png,0.086391,0.008026,0.00253,0.005534,0.044612,0.155388,0.185798,,
395,33,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000278.png,0.08704,0.024833,0.011067,0.030273,0.0,0.321956,0.216195,,
396,32,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000079.png,0.08718,0.024311,0.009238,0.030741,0.0,0.435954,0.249504,,
397,31,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000282.png,0.087651,0.025353,0.011945,0.030253,0.0,0.336356,0.230746,,
398,30,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000281.png,0.088089,0.026548,0.012324,0.029846,0.0,0.361621,0.224962,,
399,29,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000265.png,0.088179,0.022062,0.008919,0.032389,0.0,0.282228,0.202373,,
400,28,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000284.png,0.088717,0.026459,0.013034,0.030151,0.0,0.346687,0.238651,,
401,27,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000285.png,0.090339,0.02799,0.013912,0.030131,0.0,0.362115,0.224593,,
402,26,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000204.png,0.090952,0.021374,0.00704,0.034261,0.0,0.285851,0.175864,,
403,25,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000240.png,0.091409,0.020458,0.008057,0.034871,0.0,0.33422,0.285043,,
404,24,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000237.png,0.092173,0.023379,0.011309,0.033549,0.0,0.348693,0.307949,,
405,23,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000239.png,0.093023,0.022505,0.009778,0.034526,0.0,0.396548,0.327519,,
406,22,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000238.png,0.093231,0.022573,0.010175,0.034566,0.0,0.374318,0.315422,,
407,21,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000241.png,0.097305,0.019898,0.007419,0.038147,0.0,0.369737,0.287232,,
408,20,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000242.png,0.100102,0.020342,0.007646,0.039307,0.0,0.412805,0.29796,,
409,19,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000086.png,0.110063,0.005221,0.001885,0.000366,0.069218,0.130815,0.099967,,
410,18,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000404.png,0.113375,0.002913,0.000365,0.004049,0.068206,0.16467,0.067124,,
411,17,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000447.png,0.1194,0.003768,0.000893,0.002889,0.073147,0.126853,0.120496,,
412,16,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000222.png,0.13762,0.005578,0.001948,0.001444,0.085908,0.114092,0.127607,,
413,15,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000110.png,0.157691,0.002812,0.000868,0.002543,0.099775,0.112265,0.08796,,
414,14,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000414.png,0.166784,0.009257,0.005654,0.012431,0.087878,0.937878,0.176657,,
415,13,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000476.png,0.170394,0.001259,0.000188,0.004476,0.10677,0.151694,0.041536,,
416,12,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000419.png,0.221234,0.002146,0.000201,0.0012,0.144438,0.105505,0.050057,,
417,11,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000436.png,0.264255,0.001541,7.2e-05,0.0,0.175135,0.10478,0.020085,,
418,10,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000068.png,0.267373,0.001925,0.000474,0.000692,0.175995,0.087407,0.036597,,
419,9,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000418.png,0.292745,0.001747,8.3e-05,0.0,0.19399,0.08573,0.020281,,
420,8,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000071.png,0.294635,0.001534,0.000181,0.000468,0.194759,0.085191,0.020051,,
421,7,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000311.png,0.304418,0.001049,5.3e-05,0.0,0.202241,0.082875,0.014883,,
422,6,data\selected_frames\nosferatu_non_text_easyocr\nosferatu_000006.png,0.311106,0.000668,2.8e-05,0.0,0.206956,0.08034,0.012703,,
